517.76,223.72,665.41,272.4,519.82,265.91,714.05,655.56,406.13,209.16,,637.98,490.64,549.93,298.77,274.19,643.69,712.96,491.67,588.06,686.33,619.76,643.81,558.56,59.7,502.04,282.23,479.11,385.66,241.17,443.02,51.97,681.93,540.49,683.01,417.66,224.14,456.73,203.69,674.59,672.17,620.48,370.18,892.08,470.39,649.77,528.34,535.78,604.25,234.15,128.79,396.31,189.34,280.5,633.12,172.18,672.52,695.39,346.39,597.94,301.16,227.52,677.73,630.95,463.23,597.2,419.92,615.06,733.79,350.75,255.45,654.87,424.07,413.48,469.53,684.72,245.82,356.36,126.42,644.62,276.78,247.57,365.15,282.45,555.59,513.93,367.99,413.68,583.09,453.26,224.64,124.78,560.05,177.38,112.92,195.24,653.39,174.62,695.26,234.19,313.62,374.95
355.86,724.32,450.88,702.52,195.69,545.67,1076.08,308.54,469.2,624.3,637.9,,166.36,335.21,560.68,477.95,429.16,188.01,387.42,315.86,189.28,94.81,118.87,366.14,694.63,372.61,566.5,404.14,613.39,575.99,754.52,601.65,1154.87,1013.43,158.06,946.46,601.54,836.9,620.32,986.09,1034.19,1093.41,276.52,1365.02,943.33,268.58,839.84,342.17,743.29,406.99,657.59,460.18,561.32,544.28,108.17,482.29,147.57,1168.33,710.68,59.4,530.16,612.52,228.39,290.92,418.64,1070.14,439.03,122.19,208.84,473.19,394.75,129.92,461.67,508.09,539.87,1040.8,565.37,829.29,593.24,1117.56,598.03,596.63,382.41,601.77,283.39,455.64,798.11,484.54,58.14,351.19,510.37,513.85,922.96,500.94,550.92,444.35,202.15,505.41,1057.28,664.31,517.37,755.12
212.96,581.41,314.64,559.61,52.79,402.76,933.17,212.11,326.3,481.39,494.99,161.9,,192.31,417.77,335.04,292.92,236.88,244.51,172.95,210.26,143.69,167.74,223.23,551.73,229.7,423.6,261.23,470.49,433.08,611.61,458.74,1011.96,870.52,206.94,803.56,458.63,693.99,477.41,843.18,891.29,950.51,133.61,1222.11,800.42,193.05,696.94,199.26,607.05,264.09,514.68,317.27,418.41,401.37,157.05,464.48,196.45,1025.42,567.77,107.3,387.25,469.62,215.71,187.5,275.73,927.23,296.12,138.99,257.72,330.29,352.95,178.79,318.76,365.19,396.96,897.89,422.46,686.39,450.33,974.65,455.13,453.72,239.5,458.86,140.48,312.74,655.2,341.64,107.01,208.28,367.46,370.94,780.05,358.03,408.01,301.44,165.06,362.5,914.38,521.41,374.46,612.21
38.11,451.56,127.09,421.23,142.63,284.88,762.49,71.34,165.36,337.11,545.79,335.07,187.73,,283.49,277.76,105.37,235.19,67.22,20.16,132.72,239.35,213.81,35.98,602.52,52.49,289.31,83.94,306.2,300.42,447.33,515.45,873.58,732.14,175.47,755.12,334.22,523.31,344.27,678.9,720.6,812.13,224.74,1083.73,662.04,65.55,532.65,64.01,419.5,342.03,522.92,175.33,362.27,267.08,224.12,521.2,259.95,887.05,397.09,295.04,252.93,339.77,93.51,46.73,97.37,788.85,132.74,214.58,220.63,201.65,450.67,262.24,149.23,200.9,195.66,727.21,305.46,548.01,419.57,836.27,320.84,321.02,228.82,324.57,54.49,114.92,516.82,159.96,280.18,140.23,332.3,427.65,609.37,397.64,464.73,358.16,129.27,419.22,743.7,383.03,238,441.53
249.15,194.26,396.8,149.43,369.08,35.75,522.99,342.91,119.45,88.42,299.05,561.53,414.19,281.32,,89.33,375.08,506.76,223.07,290.23,404.29,507.05,481.5,289.95,355.78,233.43,17.5,210.51,87.26,51.3,221.51,289.69,601.78,460.34,447.04,497.81,85.68,283.81,93.78,453.08,481.1,540.32,310.56,811.93,390.24,337.12,306.83,279.3,382.73,161.67,290.77,109.15,117.18,18.05,491.81,295.43,527.65,615.24,157.59,521.49,37.37,76.93,365.07,318.3,194.62,517.05,151.32,482.28,492.19,89.47,287.12,529.93,138.39,115.08,171.12,487.71,56.34,276.2,172.83,564.47,49.03,58.19,179.76,52.77,321.19,251.85,245.02,145.07,506.63,238.14,95.13,201.89,369.87,148.51,238.96,163.04,396.96,230.78,504.2,111.22,54.84,202.03
243.84,241.86,391.48,220.05,275.88,67.99,593.61,337.59,114.13,122.7,274.19,478.01,330.67,276,89.37,,369.76,512.49,217.75,284.92,398.97,459.79,440.98,284.63,330.92,228.12,95.19,205.19,176.25,93.53,299.19,237.94,672.4,530.96,455.07,514.82,99.95,354.43,118.72,530.76,551.73,610.95,210.21,882.55,460.86,331.8,384.51,238.83,460.42,72.59,253.34,103.83,103.56,71.93,473.15,243.68,512.55,685.87,228.21,437.97,52.48,130.06,359.76,312.98,189.31,587.67,146,455.09,486.88,76.83,198.04,494.9,133.07,125.68,197.2,558.33,79.74,346.83,167.07,635.09,126.72,114.17,86.12,130.45,258.64,240.01,315.64,139.75,423.11,175.59,54.78,150.14,440.49,137.22,187.21,80.64,356.44,141.7,574.82,181.85,39.69,272.66
126.23,544.77,27.03,483.85,241.68,378.08,800.29,146.55,258.57,430.32,638.99,427.01,286.78,102.28,376.69,370.97,,330.58,160.43,123.95,228.11,334.74,309.2,86.68,695.73,145.7,382.52,158.32,344,393.63,485.12,608.66,858.79,728.7,270.86,848.33,427.43,561.11,437.47,521.68,758.4,808.68,314.1,1080.28,703.12,160.94,389.09,162.62,319.43,435.24,616.13,268.54,455.48,360.29,319.51,614.4,355.34,883.6,434.89,394.09,346.14,432.97,188.9,142.12,171.91,785.4,225.95,309.97,297.78,294.86,543.88,357.63,242.44,294.1,236,765.01,398.67,641.22,512.78,821.48,414.04,414.23,322.03,417.78,153.54,155.26,557.74,253.17,369.66,229.59,425.51,520.86,647.17,490.85,557.93,451.36,224.66,512.42,781.49,476.23,331.21,479.33
262.45,675.91,355.04,645.58,270.78,509.22,986.83,246.12,389.71,561.46,712.99,188,241.45,234.98,507.83,514.67,333.32,,291.57,235.42,102.96,91.12,87.84,269.99,769.72,276.84,513.66,308.28,530.55,524.77,671.67,676.74,1097.93,956.49,61.49,979.47,558.57,747.66,568.61,903.24,944.95,1036.47,351.61,1308.08,886.39,172.95,756.99,292.96,647.45,482.08,732.68,399.68,636.41,491.43,77.03,682.48,43.15,1111.39,621.44,246.71,477.28,564.11,142.07,195.08,321.71,1013.2,357.09,106.59,92.27,426,570.95,61.06,373.58,425.24,442.76,951.56,529.81,772.36,668.33,1060.62,545.18,545.37,446.83,548.92,258.99,348.82,741.17,384.31,130.66,344.73,585.46,588.94,833.71,576.02,626.01,519.44,158.36,580.5,968.04,607.37,462.35,665.88
34.08,392.82,181.73,362.49,195.21,226.13,703.74,127.84,106.61,278.36,487.04,387.65,240.31,66.25,224.74,219.02,160.01,291.69,,75.16,189.22,291.98,266.43,74.82,543.77,17.99,230.56,14.26,247.45,241.68,388.58,456.71,814.83,673.4,231.97,696.37,275.48,464.56,285.52,620.15,661.86,753.38,195.51,1024.98,603.29,122.05,473.9,64.23,498.18,283.28,464.17,116.58,303.52,208.33,276.74,462.45,312.58,828.3,338.34,347.61,194.18,281.02,150,103.23,25.35,730.11,73.99,267.21,277.12,142.91,391.92,314.86,90.49,142.15,159.66,668.46,246.72,489.26,360.82,777.52,262.09,262.27,170.08,265.82,105.21,64.54,458.07,101.21,332.76,98.05,273.55,368.91,550.62,338.89,405.98,299.41,181.89,360.47,684.95,324.28,179.26,382.78
45.52,458.98,147.88,428.65,122.81,292.29,769.9,72.85,172.77,344.53,587.42,315.25,167.91,20.14,290.9,285.18,126.16,236.71,74.64,,134.23,221.43,195.88,59.68,644.16,59.91,296.72,91.35,313.62,307.84,454.74,551.17,881,739.56,176.98,762.54,341.64,530.73,351.68,686.31,728.02,819.54,204.91,1091.15,669.46,67.06,540.06,49.61,440.29,356.52,530.34,182.75,369.69,274.5,206.2,556.91,242.03,894.46,404.51,275.21,260.34,347.18,95.02,48.24,104.78,796.27,140.16,196.66,222.14,209.07,445.38,244.32,156.65,208.31,225.82,734.63,312.88,555.42,426.98,843.69,328.25,328.43,222.51,331.99,34.66,141.79,524.24,167.38,260.36,120.4,349.22,463.37,616.78,450.46,500.44,393.87,111.34,454.93,751.11,390.44,245.42,448.95
